,id,original_title,imdb_id,genre_ids,genres,rating,popularity,release_date,budget,revenue,runtime,status,title
171,711577,Danny's Game,tt8506500,[18],['Drama'],NR-Manual,1.772,2019-06-27,0,0,77,Released,Danny's Game
172,607181,Kinky Boots: The Musical,tt10442108,"[10402, 35]","['Music', 'Comedy']",NR-Manual,8.47,2019-06-25,0,0,122,Released,Kinky Boots: The Musical
173,635984,Skin,tt10129738,[],[],NR-Manual,0.682,2019-06-24,50000,0,21,Released,Skin
174,675590,Here With You,tt8669072,"[10749, 18]","['Romance', 'Drama']",NR-Manual,0.6,2019-06-24,0,0,7,Released,Here With You
175,644195,The Checkup,tt14250236,[35],['Comedy'],NR-Manual,0.6,2019-06-21,0,0,6,Released,The Checkup
176,633368,First Position.,tt8580134,[18],['Drama'],NR-Manual,0.6,2019-06-21,0,0,20,Released,First Position.
177,633975,Stranger Out of You,tt9604404,"[53, 9648, 18]","['Thriller', 'Mystery', 'Drama']",NR-Manual,0.6,2019-06-21,0,0,16,Released,Stranger Out of You
178,613027,It's Still Your Bed,tt10493146,"[10749, 18]","['Romance', 'Drama']",NR-Manual,2.85,2019-06-13,0,0,17,Released,It's Still Your Bed
179,502800,Crisis Hotline,tt7134296,[53],['Thriller'],NR-Manual,1.911,2019-06-11,0,0,92,Released,Crisis Hotline
180,537792,Papi Chulo,tt8228538,"[35, 18]","['Comedy', 'Drama']",R,4.171,2019-06-07,0,0,98,Released,Papi Chulo
181,722364,The Onion House,,"[16, 14, 27]","['Animation', 'Fantasy', 'Horror']",NR-Manual,0.6,2019-06-06,0,0,6,Released,The Onion House
182,678786,Negative Two,,[18],['Drama'],NR-Manual,0.6,2019-06-06,0,0,28,Released,Negative Two
183,667840,Closeted,tt11891832,"[18, 35, 10749]","['Drama', 'Comedy', 'Romance']",NR-Manual,0.6,2019-06-03,0,0,6,Released,Closeted
184,837133,In The Woods We Can Be Together,,"[18, 10749]","['Drama', 'Romance']",NR-Manual,0.6,2019-06-01,0,0,41,Released,In The Woods We Can Be Together
185,504608,Rocketman,tt2066051,"[10402, 18, 36]","['Music', 'Drama', 'History']",R,22.266,2019-05-31,40000000,167323950,121,Released,Rocketman
186,642676,Room Closet: Truth or Dare,tt12168824,[18],['Drama'],NR-Manual,0.9,2019-05-24,0,0,8,Released,Room Closet: Truth or Dare
187,505600,Booksmart,tt1489887,[35],['Comedy'],R,26.62,2019-05-24,6000000,24849029,102,Released,Booksmart
188,621195,Zero One,tt8100118,[18],['Drama'],NR-Manual,0.6,2019-05-17,0,0,24,Released,Zero One
189,586707,Life Like,tt6547786,"[53, 878]","['Thriller', 'Science Fiction']",R,18.417,2019-05-14,1500000,0,95,Released,Life Like
190,650436,Fuck,,[],[],NR-Manual,0.6,2019-05-08,0,0,3,Released,Fuck
191,475888,Tell It to the Bees,tt7241926,"[10749, 18]","['Romance', 'Drama']",NR,14.851,2019-05-03,0,0,106,Released,Tell It to the Bees
192,707056,Night Drive,tt10259136,"[18, 10749]","['Drama', 'Romance']",NR-Manual,0.6,2019-04-30,0,0,10,Released,Night Drive
193,610472,The Trigger,tt4287236,[18],['Drama'],NR-Manual,1.139,2019-04-29,0,0,100,Released,The Trigger
